DATE,IR3TIB01USM156N
2011-01-01,0.28333333333333333333
2011-04-01,0.22000000000000000000
2011-07-01,0.28666666666666666667
2011-10-01,0.42333333333333333333
2012-01-01,0.33000000000000000000
2012-04-01,0.30000000000000000000
2012-07-01,0.26666666666666666667
2012-10-01,0.23333333333333333333
2013-01-01,0.22000000000000000000
2013-04-01,0.19666666666666666667
2013-07-01,0.12333333333333333333
2013-10-01,0.12666666666666666667
2014-01-01,0.12333333333333333333
2014-04-01,0.11333333333333333333
2014-07-01,0.12666666666666666667
2014-10-01,0.13333333333333333333
2015-01-01,0.15000000000000000000
2015-04-01,0.15333333333333333333
2015-07-01,0.24000000000000000000
2015-10-01,0.36333333333333333333
2016-01-01,0.55333333333333333333
2016-04-01,0.55666666666666666667
2016-07-01,0.70000000000000000000
2016-10-01,0.76666666666666666667
2017-01-01,0.91666666666666666667
2017-04-01,1.08000000000000000000
2017-07-01,1.24000000000000000000
2017-10-01,1.3733333333333333
2018-01-01,1.8300000000000000
2018-04-01,2.1833333333333333
2018-07-01,2.2000000000000000
2018-10-01,2.5400000000000000
2019-01-01,2.5200000000000000
2019-04-01,2.4033333333333333
2019-07-01,2.1033333333333333
2019-10-01,1.8033333333333333
2020-01-01,1.5300000000000000
2020-04-01,0.18500000000000000000
2020-07-01,0.15333333333333333333
2020-10-01,0.15000000000000000000
2021-01-01,0.11666666666666666667
2021-04-01,0.10000000000000000000
2021-07-01,0.10000000000000000000
2021-10-01,0.14000000000000000000
2022-01-01,0.44333333333333333333
2022-04-01,1.3700000000000000
2022-07-01,2.8233333333333333
2022-10-01,4.2733333333333333
2023-01-01,4.7533333333333333
2023-04-01,5.1333333333333333
2023-07-01,5.4266666666666667
2023-10-01,5.3966666666666667
2024-01-01,5.2566666666666667
